TIPO,QUESTÃO,PERFIL,COMPETÊNCIA,OBJETO DE CONHECIMENTO
oce18,QUESTÃO 26,"Analítico na compreensão da inter-relação entre os contextos regional, nacional e global, de forma sistêmica",Monitorar resultados e avaliar desempenho,"Ciências Jurídicas, Econômicas e Contábeis."
oce19,QUESTÃO 27,"Crítico e reflexivo acerca do fenômeno organizacional em suas dimensões histórica, social, econômica, ambiental, política e cultural",Promover a comunicação no ambiente organizacional interno e externo,Planejamento e Gestão Estratégica; Mercado e Marketing.
oce20,QUESTÃO 28,"Analítico na compreensão da inter-relação entre os contextos regional, nacional e global, de forma sistêmica",Coordenar e integrar as diferentes áreas funcionais da organização,Gestão de Projetos e Gestão de Processos e Serviços.
oce21,QUESTÃO 29,"Analítico na compreensão da inter-relação entre os contextos regional, nacional e global, de forma sistêmica",Reconhecer e delimitar problemas e identificar oportunidades,Sistema de informação e tecnologia de informação e comunicação.
oce22,QUESTÃO 30,"Ético e responsável na tomada de decisões e na solução de problemas no âmbito das organizações, com atuação pautada no conhecimento científico e metodológico",Reconhecer e delimitar problemas e identificar oportunidades,Métodos Qualitativos aplicados à Administração.
oce23,QUESTÃO 31,"Proativo, flexível, criativo e inovador frente aos desafios organizacionais",Lidar com mudanças e situações de risco,"Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo."
oce24,QUESTÃO 32,"Crítico e reflexivo acerca do fenômeno organizacional em suas dimensões histórica, social, econômica, ambiental, política e cultural","Promover uma gestão para a sustentabilidade, inclusão e diversidade","Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo."
oce25,QUESTÃO 33,"Proativo, flexível, criativo e inovador frente aos desafios organizacionais",Lidar com mudanças e situações de risco,"Gestão da Inovação, Gestão do Conhecimento e Empreendedorismo."
oce26,QUESTÃO 34,"Colaborativo e propositivo na liderança, integrando os interesses das diferentes áreas e promovendo o desenvolvimento de pessoas e equipes",Monitorar resultados e avaliar desempenho,Gestão de Pessoas.
oce27,QUESTÃO 35,"Colaborativo e propositivo na liderança, integrando os interesses das diferentes áreas e promovendo o desenvolvimento de pessoas e equipes","Desenvolver o capital humano, mediante liderança e trabalho em equipe",Gestão de Pessoas.
