TIPO,QUESTÃO,PERFIL,COMPETÊNCIA,OBJETO DE CONHECIMENTO
dce3,QUESTÃO DISCURSIVA 5,"Atento às questões econômicas contemporâneas derivadas de uma realidade diversificada, global e em constante transformação","Analisar as inter-relações entre as dimensões local, regional e global dos fenômenos econômicos","Economia Internacional; Economia Industrial, da Tecnologia e Inovação; Desenvolvimento Socioeconômico."
oce1,QUESTÃO 9,"Atento às questões econômicas contemporâneas derivadas de uma realidade diversificada, global e em constante transformação","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Economia Brasileira Contemporânea.
oce2,QUESTÃO 10,Comprometido com a análise da realidade brasileira,Analisar e interpretar a conjuntura econômica e política global e seus impactos sobre a realidade econômica brasileira,Economia Brasileira Contemporânea; Contabilidade Social.
oce3,QUESTÃO 11,"Ético, coerente e responsável no tratamento das informações para subsidiar tomadas de decisão",Mensurar e avaliar os impactos socioeconômicos e ambientais decorrentes de escolhas públicas e privadas,Econometria.
oce4,QUESTÃO 12,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Economia Política; História do Pensamento Econômico.
oce5,QUESTÃO 13,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos",Utilizar formulações matemáticas e estatísticas na análise dos fenômenos socioeconômicos,Economia Monetária e Financeira.
oce6,QUESTÃO 14,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar as inter-relações entre as dimensões local, regional e global dos fenômenos econômicos",Economia Internacional.
oce7,QUESTÃO 15,"Ético, coerente e responsável no tratamento das informações para subsidiar tomadas de decisão",Utilizar formulações matemáticas e estatísticas na análise dos fenômenos socioeconômicos,Econometria.
oce8,QUESTÃO 16,Comprometido com a análise da realidade brasileira,Analisar os impactos de mudanças institucionais sobre o comportamento e as decisões dos agentes econômicos,Economia Brasileira Contemporânea; Economia Monetária e Financeira.
oce9,QUESTÃO 17,"Ético, coerente e responsável no tratamento das informações para subsidiar tomadas de decisão","Elaborar, analisar e avaliar políticas econômicas e outras políticas públicas",Economia do Setor Público; Microeconomia.
oce10,QUESTÃO 18,Comprometido com a análise da realidade brasileira,"Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Formação Econômica do Brasil.
oce11,QUESTÃO 19,"Analítico e crítico na interpretação das questões econômicas de acordo com o contexto histórico, político, social e cultural","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Economia Brasileira Contemporânea.
oce12,QUESTÃO 20,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Macroeconomia; Desenvolvimento Socioeconômico.
oce13,QUESTÃO 21,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos",Utilizar formulações matemáticas e estatísticas na análise dos fenômenos socioeconômicos,Microeconomia.
oce14,QUESTÃO 22,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos",Utilizar formulações matemáticas e estatísticas na análise dos fenômenos socioeconômicos,Contabilidade Social.
oce15,QUESTÃO 23,"Atento às questões econômicas contemporâneas derivadas de uma realidade diversificada, global e em constante transformação","Analisar as inter-relações entre as dimensões local, regional e global dos fenômenos econômicos",Economia Internacional; História Econômica Geral.
oce16,QUESTÃO 24,"Atento às questões econômicas contemporâneas derivadas de uma realidade diversificada, global e em constante transformação","Elaborar, analisar e avaliar políticas econômicas e outras políticas públicas",Economia Monetária e Financeira; Economia Internacional.
oce17,QUESTÃO 25,"Analítico e crítico na interpretação das questões econômicas de acordo com o contexto histórico, político, social e cultural","Analisar as inter-relações entre as dimensões local, regional e global dos fenômenos econômicos",Desenvolvimento Socioeconômico.
oce18,QUESTÃO 26,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Utilizar, de forma lógica e consistente, a análise gráfica e quantitativa na tomada de decisões econômicas",Macroeconomia.
oce19,QUESTÃO 27,"Atento às questões econômicas contemporâneas derivadas de uma realidade diversificada, global e em constante transformação",Analisar os impactos de mudanças institucionais sobre o comportamento e as decisões dos agentes econômicos,Macroeconomia.
oce20,QUESTÃO 28,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Elaborar, analisar e avaliar projetos econômicos e estratégias financeiras",Estatística Aplicada à Economia; Microeconomia.
oce21,QUESTÃO 29,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Utilizar, de forma lógica e consistente, a análise gráfica e quantitativa na tomada de decisões econômicas",Microeconomia.
oce22,QUESTÃO 30,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas","Desenvolvimento Socioeconômico; Economia Industrial, da Tecnologia e Inovação; História do Pensamento Econômico."
oce23,QUESTÃO 31,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",História do Pensamento Econômico; Economia Política; Macroeconomia.
oce24,QUESTÃO 32,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos",Utilizar formulações matemáticas e estatísticas na análise dos fenômenos socioeconômicos,Microeconomia; Matemática Aplicada à Economia.
oce25,QUESTÃO 33,"Atento às questões econômicas contemporâneas derivadas de uma realidade diversificada, global e em constante transformação","Analisar as inter-relações entre as dimensões local, regional e global dos fenômenos econômicos",Economia Internacional; Desenvolvimento Socioeconômico.
oce26,QUESTÃO 34,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Macroeconomia; História do Pensamento Econômico; Economia Monetária e Financeira.
oce27,QUESTÃO 35,"Sensível e reflexivo na adoção da abordagem teórica, histórica e quantitativa reconhecendo a pluralidade metodológica das ciências econômicas para propor soluções a problemas econômicos","Analisar e interpretar bases teóricas e contextos históricos, bem como condicionantes estruturais das transformações socioeconômicas",Macroeconomia.
