TIPO,QUESTÃO,PERFIL,COMPETÊNCIA,OBJETO DE CONHECIMENTO
dce2,QUESTÃO DISCURSIVA 4,"Proativo, criativo e inovador nos diferentes contextos organizacionais e socioambientais","Reconhecer, definir, analisar e propor soluções para problemas e conflitos de interesse público","Conteúdos relacionados, nas diferentes áreas disciplinares, à realidade histórica e contemporânea da sociedade e do Estado brasileiro; Conteúdos relacionados à capacidade de leitura, escrita, expressão e comunicação."
dce3,QUESTÃO DISCURSIVA 5,Integrador da teoria e da prática,"Reconhecer, definir, analisar e propor soluções para problemas e conflitos de interesse público","Conteúdos relacionados, nas diferentes áreas disciplinares, à realidade histórica e contemporânea da sociedade e do Estado brasileiro; Conteúdos relacionados à capacidade de leitura, escrita, expressão e comunicação."
oce1,QUESTÃO 9,Integrador da teoria e da prática,"Utilizar processos de comunicação intra/interinstitucional e social de forma assertiva, efetiva e legítima","Gestão de políticas, de programas e de projetos públicos e socioambientais; Matemática e Estatística aplicadas à administração pública."
oce2,QUESTÃO 10,Responsável em relação à res publica e ao caráter público e democrático do Estado,"Reconhecer, definir, analisar e propor soluções para problemas e conflitos de interesse público","Teorias das organizações e da administração pública; Conteúdos relacionados, nas diferentes áreas disciplinares, à realidade histórica e contemporânea da sociedade e do Estado brasileiro."
oce3,QUESTÃO 11,Promotor da transparência e da participação e inclusão social,Aplicar os princípios da administração pública no exercício da atividade profissional,"Direito, Economia e/ou Ciências Contábeis."
oce4,QUESTÃO 12,Integrador da teoria e da prática,Aplicar métodos e técnicas de natureza quantitativa e qualitativa,Gestão de estruturas e processos organizacionais.
oce5,QUESTÃO 13,"Proativo, criativo e inovador nos diferentes contextos organizacionais e socioambientais",Aplicar os princípios da administração pública no exercício da atividade profissional,Gestão de estruturas e processos organizacionais.
oce6,QUESTÃO 14,"Proativo, criativo e inovador nos diferentes contextos organizacionais e socioambientais","Reconhecer, definir, analisar e propor soluções para problemas e conflitos de interesse público","Gestão de políticas, de programas e de projetos públicos e socioambientais."
oce7,QUESTÃO 15,Responsável em relação à res publica e ao caráter público e democrático do Estado,Aplicar os princípios da administração pública no exercício da atividade profissional,"Teorias das organizações e da administração pública; Filosofia, ética, antropologia, sociologia, psicologia e ciência política."
oce8,QUESTÃO 16,"Ético e crítico, fundamentado nos princípios da administração pública","Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos","Teorias das organizações e da administração pública;  Gestão de políticas, de programas e de projetos públicos e socioambientais."
oce9,QUESTÃO 17,"Ético e crítico, fundamentado nos princípios da administração pública",Aplicar os princípios da administração pública no exercício da atividade profissional,"Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais); e Direito, Economia e Ciências Contábeis."
oce10,QUESTÃO 18,Promotor da transparência e da participação e inclusão social,"Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos.
Objetivo de Conhecimento: Gestão de políticas, de programas e de projetos públicos e socioambientais; Planejamento e gestão governamental.",
oce11,QUESTÃO 19,Promotor da transparência e da participação e inclusão social,"Utilizar processos de comunicação intra/interinstitucional e social de forma assertiva, efetiva e legítima","Direito, Economia e Ciências Contábeis; e Gestão de políticas, de programas e de projetos públicos e socioambientais."
oce12,QUESTÃO 20,Promotor da transparência e da participação e inclusão social,Aplicar os princípios da administração pública no exercício da atividade profissional,"Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais."
oce13,QUESTÃO 21,Integrador da teoria e da prática,Realizar processos de negociação e de mediação,"Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais."
oce14,QUESTÃO 22,Integrador da teoria e da prática,Aplicar os princípios da administração pública no exercício da atividade profissional,"Direito, Economia e Ciências Contábeis Gestão de políticas, de programas e de projetos públicos e socioambientais."
oce15,QUESTÃO 23,Promotor da transparência e da participação e inclusão social,Aplicar métodos e técnicas de natureza quantitativa e qualitativa,Métodos qualitativos aplicados à administração pública; e Planejamento e Gestão governamental.
oce16,QUESTÃO 24,Responsável em relação à res publica e ao caráter público e democrático do Estado,"Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos",Sistemas e Tecnologias de Informação e Comunicação (TIC); e Planejamento e Gestão governamental.
oce17,QUESTÃO 25,"Ético e crítico, fundamentado nos princípios da administração pública","Utilizar processos de comunicação intra/interinstitucional e social de forma assertiva, efetiva e legítima","Conteúdos relacionados à capacidade de leitura, escrita, expressão e comunicação; Direito, Economia e Ciências Contábeis."
oce18,QUESTÃO 26,Promotor da transparência e da participação e inclusão social,"Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos",Sistemas e Tecnologias de Informação e Comunicação (TIC); Planejamento e gestão governamental.
oce19,QUESTÃO 27,Integrador da teoria e da prática,Aplicar métodos e técnicas de natureza quantitativa e qualitativa,Matemática e Estatística aplicadas à administração pública.
oce20,QUESTÃO 28,"Comprometido com a coprodução do bem público, com a isonomia social e com o respeito à diversidade local e global","Reconhecer, definir, analisar e propor soluções para problemas e conflitos de interesse público","Direito, Economia e Ciências Contábeis."
oce21,QUESTÃO 29,Integrador da teoria e da prática,"Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos","Gestão de áreas funcionais (pessoas, finanças, orçamento público, logística de materiais e de serviços)."
oce22,QUESTÃO 30,"Proativo, criativo e inovador nos diferentes contextos organizacionais e socioambientais","Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos","Gestão de estruturas e processos organizacionais; e Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais)."
oce23,QUESTÃO 31,"Proativo, criativo e inovador nos diferentes contextos organizacionais e socioambientais","Planejar, organizar, dirigir, controlar e avaliar processos de tomada de decisão e de inovação, no ciclo de políticas, programas, planos e projetos públicos","Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais)."
oce24,QUESTÃO 32,Promotor da transparência e da participação e inclusão social,Realizar processos de negociação e de mediação,"Planejamento e gestão governamental;  e Gestão de políticas, de programas e de projetos públicos e socioambientais."
oce25,QUESTÃO 33,"Ético e crítico, fundamentado nos princípios da administração pública",Aplicar métodos e técnicas de natureza quantitativa e qualitativa,Métodos qualitativos aplicados à administração pública;
oce26,QUESTÃO 34,"Ético e crítico, fundamentado nos princípios da administração pública","Utilizar processos de comunicação intra/interinstitucional e social de forma assertiva, efetiva e legítima","Gestão de áreas funcionais (pessoas, finanças, orçamento público, serviços e logística de materiais; e Filosofia, ética, antropologia, sociologia, psicologia e ciência política."
oce27,QUESTÃO 35,Promotor da transparência e da participação e inclusão social,"Reconhecer, definir, analisar e propor soluções para problemas e conflitos de interesse público","Filosofia, ética, antropologia, sociologia, psicologia e ciência política."
