TIPO,QUESTÃO,PERFIL,COMPETÊNCIA,OBJETO DE CONHECIMENTO
dce3,QUESTÃO DISCURSIVA5 ,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos.,"Selecionar fontes, utilizando critérios de pertinência e independência.",Teorias do Jornalismo.
oce1,QUESTÃO 9,"Consciente das relações entre o campo de trabalho, a complexidade e a diversidade do mundo contemporâneo e os processos socioeconômicos, políticos e culturais",Empreender e gerir negócios em jornalismo,"Práticas, técnicas e processos produtivos contemporâneos em jornalismo."
oce2,QUESTÃO 10,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos,"Adequar o texto jornalístico à diversidade linguística, social e cultural do público",Sociologia da Comunicação.
oce3,QUESTÃO 11,"Comprometido com a defesa da democracia, dos direitos humanos, da participação social e da liberdade de expressão","Contextualizar, interpretar, investigar e explicar fatos e informações",Políticas de Comunicação; e Telejornalismo e audiovisual.
oce4,QUESTÃO 12,"Comprometido com a defesa da democracia, dos direitos humanos, da participação social e da liberdade de expressão","Contextualizar, interpretar, investigar e explicar fatos e informações",Políticas de Comunicação; e Telejornalismo e audiovisual.
oce5,QUESTÃO 13,"Compromissado com o interesse público, as demandas sociais e os desafios profissionais da área",Planejar coberturas jornalísticas,Jornalismo Impresso.
oce6,QUESTÃO 14,"Responsável, rigoroso, objetivo e preciso nos processos de apuração, registro e divulgação dos fatos sociais",Elaborar reportagens a partir de práticas de investigação jornalística,Jornalismo digital e multiplataforma.
oce7,QUESTÃO 15,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos,"Propor, experimentar e inovar as linguagens jornalísticas","Fotojornalismo; e Práticas, técnicas e processos produtivos contemporâneos em Jornalismo."
oce8,QUESTÃO 16,"Consciente das relações entre o campo de trabalho, a complexidade e a diversidade do mundo contemporâneo e os processos socioeconômicos, políticos e culturais",Planejar coberturas jornalísticas,"Práticas, técnicas e processos produtivos contemporâneos em Jornalismo."
oce9,QUESTÃO 17,"Consciente das relações entre o campo de trabalho, a complexidade e a diversidade do mundo contemporâneo e os processos socioeconômicos, políticos e culturais",Planejar coberturas jornalísticas,"Práticas, técnicas e processos produtivos contemporâneos em Jornalismo."
oce10,QUESTÃO 18,Ético e reflexivo quanto à produção e à recepção dos conteúdos jornalísticos,Produzir e analisar conteúdos em diferentes gêneros e formatos jornalísticos,Legislação e ética em Jornalismo; e Fotojornalismo.
oce11,QUESTÃO 19,"Compromissado com o interesse público, as demandas sociais e os desafios profissionais da área",Planejar coberturas jornalísticas,"Práticas, técnicas e processos produtivos contemporâneos em Jornalismo; Educação para as mídias e combate à desinformação"
oce12,QUESTÃO 20,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos,Editar material jornalístico,Planejamento gráfico e visual em Jornalismo.
oce13,QUESTÃO 21,Ético e reflexivo quanto à produção e à recepção dos conteúdos jornalísticos,Trabalhar em equipes profissionais multifacetadas e/ou interdisciplinares,Educação para as mídias e combate à desinformação.
oce14,QUESTÃO 22,Ético e reflexivo quanto à produção e à recepção dos conteúdos jornalísticos,"Contextualizar, interpretar, investigar e explicar fatos e informações
Objeto de Conhecimento: Educação para as mídias e combate à desinformação.",
oce15,QUESTÃO 23,"Compromissado com o interesse público, as demandas sociais e os desafios profissionaisda área","Dominar, experimentar e inovar as linguagens jornalísticas",Teorias da Comunicação
oce16,QUESTÃO 24,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos,Planejar coberturas jornalísticas,Teorias do Jornalismo.
oce17,QUESTÃO 25,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos,Planejar coberturas jornalísticas,Teorias do Jornalismo.
oce18,QUESTÃO 26,Ético e reflexivo quanto à produção e à recepção dos conteúdos jornalísticos,Produzir e analisar conteúdos em diferentes gêneros e formatos jornalísticos,Teorias do Jornalismo.
oce19,QUESTÃO 27,"Compromissado com o interesse público, as demandas sociais e os desafios profissionais da área",Editar material jornalístico,Linguagens jornalísticas.
oce20,QUESTÃO 28,"Consciente das relações entre o campo de trabalho e a complexidade e a diversidade do mundo contemporâneo e os processos socioeconômicos, políticos e culturais","Contextualizar, interpretar, investigar e explicar fatos e informações",Metodologia e Pesquisa em Jornalismo.
oce21,QUESTÃO 29,Crítico e investigativo em relação ao poder exercido pelo jornalismo na construção de sentidos,Produzir e analisar conteúdos em diferentes gêneros e formatos jornalísticos,Gêneros jornalísticos;  e Jornalismo impresso.
oce22,QUESTÃO 30,"Comprometido com a defesa da democracia, os direitos humanos, a participação social e a liberdade de expressão","Adequar o texto jornalístico à diversidade linguística, social e cultural do público",Jornalismo Impresso.
oce23,QUESTÃO 31,"Responsável, rigoroso, objetivo e preciso nos processos de apuração, registro e divulgação dos fatos sociais",Produzir e analisar conteúdos em diferentes gêneros e formatos jornalísticos,"Reportagem, entrevista e apuração jornalística; Jornalismo Investigativo; e Telejornalismo."
oce24,QUESTÃO 32,"Comprometido com a defesa da democracia, os direitos humanos, a participação social e a liberdade de expressão",Elaborar reportagens a partir de práticas de investigação jornalística,Jornalismo de dados;
oce25,QUESTÃO 33,"Consciente das relações entre o campo de trabalho e a complexidade e a diversidade do mundo contemporâneo e os processos socioeconômicos, políticos e culturais",Produzir e analisar conteúdos em diferentes gêneros e formatos jornalísticos,"Novas práticas, técnicas e processos de produção jornalísticos."
oce26,QUESTÃO 34,Ético e reflexivo quanto à produção e à recepção dos conteúdos jornalísticos,Empreender e gerir negócios em jornalismo,"Comunicação institucional, corporativa e assessoria de imprensa."
oce27,QUESTÃO 35,"Responsável, rigoroso, objetivo e preciso nos processos de apuração, registro e divulgação dos fatos sociais",Formular questões e conduzir entrevistas,Linguagens jornalísticas.
